GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2014;03354;Lüchow-Dannenberg, Landkreis;524;528;821;1230;785;504;1198;1126;1136;1227;1402;1975;2039;1899;1781;3197;2610;513;479;720;1162;744;452;975;956;1099;1125;1411;2015;2125;1988;1826;3269;3887
31.12.2014;03355;Lüneburg, Landkreis;2440;2441;3352;4609;3172;2081;5259;5352;4971;5221;6030;7965;7640;5965;5063;8576;6517;2335;2297;3233;4507;2944;1910;5514;5285;5595;5534;6221;8050;7557;6023;5362;9091;10010
31.12.2014;03356;Osterholz, Landkreis;1334;1440;2011;2922;2027;1275;2800;2463;2722;2796;3641;5282;5149;4171;3546;6325;4802;1227;1232;1824;2727;1907;1158;2435;2315;2873;3120;3725;5323;5094;4142;3785;6942;6949
31.12.2014;03357;Rotenburg (Wümme), Landkreis;2001;2123;3066;4654;3135;2036;4875;4843;4316;4480;5390;7211;7281;5898;5132;8164;6549;1836;1951;2856;4279;2927;1852;4144;4105;4293;4185;5349;7194;6966;5782;5192;8200;9577
31.12.2014;03358;Heidekreis;1660;1795;2536;3576;2406;1670;4161;3986;3510;3564;4275;5765;5973;5100;4334;7031;6170;1586;1524;2192;3434;2353;1486;3307;3311;3458;3533;4368;6008;6075;4975;4297;7517;9264
31.12.2014;03359;Stade, Landkreis;2618;2807;3650;5265;3594;2474;5656;5620;5566;5839;6802;8692;8552;6924;5965;10335;7914;2478;2399;3367;5121;3505;2137;4965;5247;5504;5428;6410;8516;8470;6926;6387;10937;11378
31.12.2014;03360;Uelzen, Landkreis;1008;1003;1526;2251;1610;1045;2440;2485;2208;2271;2828;3929;4103;3436;3159;5078;4760;971;985;1528;2149;1474;1025;2209;1993;1975;2420;3031;3990;4063;3591;3188;5616;7185
31.12.2014;03361;Verden, Landkreis;1828;1796;2431;3476;2341;1577;3680;3455;3485;3473;4280;5810;5668;4853;4327;7194;5498;1763;1722;2405;3445;2332;1345;3159;3330;3681;3593;4437;5928;5908;4949;4450;7568;8028
31.12.2014;03401;Delmenhorst, kreisfreie Stadt;999;916;1298;1952;1197;858;2406;2318;2036;2122;2459;3142;3099;2490;2276;4137;3199;920;849;1182;1708;1189;809;2118;2103;2096;2032;2398;2988;3034;2738;2468;4442;4826
31.12.2014;03402;Emden, kreisfreie Stadt;681;659;858;1192;828;570;1905;1742;1518;1451;1653;2122;1950;1527;1498;2509;2019;633;601;809;1220;837;593;1810;1658;1554;1271;1523;1876;1853;1665;1634;2653;3144
