"","district.ID","numb.ini","district.name","males","females","total","males.per","females.per","gender.ratio","young","medium","old","young.per","medium.per","abitur.per","nodegree.per","unemployment","GDP.cap","pop.dens","refugees","east","refugee.ratio"
"36",3352,1,"Cuxhaven, Landkreis",96128,100659,196787,0.488487552531417,0.511512447468583,0.954986638055216,55025,84716,61569,0.279617047874097,0.43049591690508,21.6,7.2,6.1,19188,95.5,656,0,0.00333355353758124
"37",3353,3,"Harburg, Landkreis",119725,125474,245199,0.488276868992125,0.511723131007875,0.954181742831184,70609,111713,68211,0.287966101003675,0.455601368684212,32.8,2.9,4.7,18188,195.1,706,0,0.00287929396123149
"38",3354,0,"Lüchow-Dannenberg, Landkreis",23982,24746,48728,0.49216056476769,0.50783943523231,0.969126323446213,12717,20397,16570,0.260979313741586,0.418588901658184,25.2,5.3,9.9,21047,39.9,123,0,0.00252421605647677
"39",3355,4,"Lüneburg, Landkreis",86654,91468,178122,0.486486789952954,0.513513210047046,0.94736957187213,56731,82057,44619,0.318495188690897,0.460678635991062,35.1,4,6.3,22571,133.5,555,0,0.00311584195102233
"40",3356,0,"Osterholz, Landkreis",54706,56778,111484,0.490707186681497,0.509292813318503,0.963506992144845,31097,50353,32349,0.278936887804528,0.451661224929138,30.3,6,4.5,16792,170.4,332,0,0.00297800581249327
"41",3357,0,"Rotenburg (Wümme), Landkreis",81154,80688,161842,0.501439675733122,0.498560324266878,1.00577533214357,50683,72450,42814,0.313163455716069,0.447658827745579,25.9,4.7,4.4,27319,77.9,475,0,0.00293496125851139
"42",3358,0,"Heidekreis",67512,68688,136200,0.49568281938326,0.50431718061674,0.982879105520615,40983,59915,38613,0.300903083700441,0.439904552129222,25.2,7.6,6.5,27581,72.7,511,0,0.00375183553597651
"43",3359,0,"Stade, Landkreis",98273,99175,197448,0.497715854300879,0.502284145699121,0.990904965969246,60903,88876,52916,0.308450832624286,0.450123576840485,26.6,5.1,6,25626,155.2,684,0,0.00346420323325635
"44",3360,0,"Uelzen, Landkreis",45140,47393,92533,0.487825964790939,0.512174035209061,0.952461333952271,25702,39838,28986,0.277760366571926,0.430527487490949,25.8,3.3,6.9,22889,63.5,262,0,0.00283142230339446
"45",3361,2,"Verden, Landkreis",65172,68043,133215,0.489224186465488,0.510775813534512,0.957806093205767,40085,59395,37065,0.300904552790602,0.445858199151747,29.4,4.8,5.4,26521,168.1,438,0,0.00328791802724918
"46",3401,1,"Delmenhorst, kreisfreie Stadt",36904,37900,74804,0.493342601999893,0.506657398000107,0.973720316622691,22822,32737,21348,0.305090636864339,0.437637024758034,26.3,6.8,10.7,20763,1187.5,224,0,0.00299449227314047
"47",3402,1,"Emden, kreisfreie Stadt",24682,25334,50016,0.493482085732566,0.506517914267434,0.974263835162233,16596,21621,13457,0.331813819577735,0.432281669865643,28.7,9.3,8.9,52254,443.1,194,0,0.0038787587971849
"48",3403,5,"Oldenburg (Oldenburg), kreisfreie Stadt",76498,84409,160907,0.475417477176257,0.524582522823743,0.906277766588871,53140,75553,39399,0.330252878992213,0.469544519505056,43.3,6,8.4,38118,1549.8,399,0,0.00247969323895169
"49",3404,2,"Osnabrück, kreisfreie Stadt",75419,81478,156897,0.48069115406923,0.51930884593077,0.925636368099364,53046,71810,38922,0.338094418631331,0.457688802207818,42.2,4.6,8.1,43077,1304.8,384,0,0.00244746553471386
"50",3405,1,"Wilhelmshaven, kreisfreie Stadt",36868,38666,75534,0.488098075039055,0.511901924960945,0.953499198262039,22632,30464,24637,0.299626658193661,0.403315063415151,33.9,5.7,12.3,34523,708.3,309,0,0.00409087298435142
"51",3451,0,"Ammerland, Landkreis",58689,61228,119917,0.489413511011783,0.510586488988217,0.958532044162801,35572,52944,34192,0.296638508301575,0.441505374550731,24.5,2.7,4.6,23549,163.2,299,0,0.00249339126228975
"52",3452,0,"Aurich, Landkreis",92332,95666,187998,0.491132884392387,0.508867115607613,0.965149582923923,56973,82185,53412,0.303051096288258,0.437158905945808,20.9,8.2,7.8,21051,145.3,582,0,0.00309577761465548
"53",3453,0,"Cloppenburg, Landkreis",81826,80524,162350,0.504009855251001,0.495990144748999,1.01616909244449,59447,73196,34535,0.366165691407453,0.450853095164767,16.6,4.8,5.6,28821,112.9,350,0,0.00215583615645211
"54",3454,0,"Emsland, Landkreis",159890,155867,315757,0.50637040508999,0.49362959491001,1.02581046661577,105324,143223,76309,0.333560301117632,0.453586143775118,24,4.7,3.5,36374,108.8,893,0,0.00282812415876766
"55",3455,0,"Friesland, Landkreis",47192,49745,96937,0.486831653548181,0.513168346451819,0.94867825912152,26949,41218,30878,0.278005302412907,0.425203998473235,20,3.6,6,21535,159.7,400,0,0.00412639136758926
"56",3456,0,"Grafschaft Bentheim, Landkreis",66859,67470,134329,0.497725733088164,0.502274266911836,0.990944123314066,43297,59698,34804,0.322320571135049,0.444416321122021,20.9,6.9,4.4,25871,136.3,346,0,0.00257576547134275
"57",3457,2,"Leer, Landkreis",82236,83573,165809,0.495968252628024,0.504031747371976,0.984002010218611,52299,73382,44439,0.315417136584866,0.442569462453787,18.6,7.5,6.5,25598,151.7,441,0,0.00265968674800524
"58",3458,1,"Oldenburg, Landkreis",63064,63734,126798,0.497358002492153,0.502641997507847,0.989487557661531,37803,58185,33714,0.29813561728103,0.458879477594284,12.3,4.3,4.7,19460,118.3,214,0,0.00168772378113219
"59",3459,1,"Osnabrück, Landkreis",173636,177680,351316,0.494244497831013,0.505755502168987,0.977239981990095,111925,157551,90842,0.318587824067222,0.44845950654112,20.8,4.1,4,24565,165.1,772,0,0.00219745186669551
"60",3460,2,"Vechta, Landkreis",68462,67722,136184,0.502716912412618,0.497283087587382,1.01092702519122,50206,62039,28352,0.368662985372731,0.45555278153087,28.4,4.5,3.9,35745,165.1,258,0,0.00189449568231217
"61",3461,0,"Wesermarsch, Landkreis",44201,44564,88765,0.497955275164761,0.502044724835239,0.991854411632708,26183,38621,25991,0.294969864248296,0.435092660395426,25.7,4.1,7.4,31002,108.1,266,0,0.00299667661803639
"62",3462,0,"Wittmund, Landkreis",27623,28916,56539,0.488565415023258,0.511434584976742,0.955284271683497,16698,24191,16972,0.295335962786749,0.4278639523161,27.1,4.7,7,21698,85.9,192,0,0.00339588602557527
"63",4011,11,"Bremen, kreisfreie Stadt",270045,281722,551767,0.489418540797112,0.510581459202888,0.95855133784369,171847,251383,149022,0.31144849184529,0.455596293362959,37.5,6.1,10.1,43332,1684.9,3610,0,0.00654261672046353
"64",4012,0,"Bremerhaven, kreisfreie Stadt",54422,55699,110121,0.494201832529672,0.505798167470328,0.977073197005332,34450,47692,31282,0.312837696715431,0.433087240399197,38.8,6.2,14.7,35837,1160.1,630,0,0.0057209796496581
"65",5111,5,"Düsseldorf, kreisfreie Stadt",291358,313169,604527,0.481960276381369,0.518039723618631,0.93035389837436,181979,295326,151789,0.301027083984669,0.488524085772844,51.4,5,8.8,69916,2753.7,1366,0,0.0022596178499885
"66",5112,2,"Duisburg, kreisfreie Stadt",237313,248152,485465,0.488836476368018,0.511163523631982,0.95632112576163,151103,218803,131151,0.31125415838423,0.450708084001936,44.5,5.7,13.1,34579,2091.3,1371,0,0.00282409648481353
